,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
3425,600020.SH,20070320,3.2322,3.2956,3.2058,3.2692,3.2217,0.04750000000000032,1.4744,213134.99,131308.836
3426,600020.SH,20070319,3.1055,3.2375,3.0632,3.2217,3.2217,0.0,0.0,240092.6,144722.212
3427,600020.SH,20070316,3.3326,3.3537,3.1689,3.2217,3.322,-0.10030000000000028,-3.0193,321014.92,198025.798
3428,600020.SH,20070315,3.2375,3.359,3.2375,3.322,3.2375,0.08450000000000024,2.61,399548.26,250365.26
3429,600020.SH,20070314,3.2745,3.2903,3.19,3.2375,3.3062,-0.0687000000000002,-2.0779,245015.45,150610.327
3430,600020.SH,20070313,3.2269,3.3062,3.2111,3.3062,3.2269,0.07929999999999993,2.4575,344573.8,213660.725
3431,600020.SH,20070312,3.2269,3.2322,3.1689,3.2269,3.2322,-0.005300000000000082,-0.16399999999999998,265199.81,160773.275
3432,600020.SH,20070309,3.2692,3.2903,3.2111,3.2322,3.2903,-0.0580999999999996,-1.7658,248363.89,152416.505
3433,600020.SH,20070308,3.2481,3.3167,3.1953,3.2903,3.2534,0.03689999999999971,1.1342,285931.14,176123.197
3434,600020.SH,20070307,3.2269,3.2534,3.2111,3.2534,3.2322,0.02119999999999989,0.6559,287920.48,176440.609
3435,600020.SH,20070306,3.322,3.322,3.1689,3.2322,3.3484,-0.11619999999999965,-3.4703,607239.99,370968.00899999996
3436,600020.SH,20070305,3.3273,3.4171,3.2164,3.3484,3.2745,0.07389999999999962,2.2568,1167816.26,738416.684
3437,600020.SH,20070302,3.1847,3.3009,3.1266,3.2745,3.2005,0.07400000000000029,2.3121,684022.08,419986.24100000004
3438,600020.SH,20070301,3.0210000000000004,3.2481,2.8942,3.2005,3.0210000000000004,0.1795,5.9417,804594.64,473588.50399999996
3439,600020.SH,20070228,2.852,3.0527,2.8361,3.0210000000000004,2.8731,0.14789999999999992,5.1477,370539.77,206702.803
3440,600020.SH,20070227,3.1953,3.2639,2.8731,2.8731,3.19,-0.3169,-9.9342,582872.22,339242.69
3441,600020.SH,20070226,3.0632,3.2058,3.0104,3.19,3.0527,0.13729999999999976,4.4977,434697.16,258136.545
3442,600020.SH,20070216,3.0051,3.1583,2.9576,3.0527,3.0263,0.0264000000000002,0.8724,578414.38,335778.32
3443,600020.SH,20070215,2.8731,3.0368,2.8256,3.0263,2.852,0.17430000000000012,6.1115,533951.76,293388.76399999997
3444,600020.SH,20070214,2.8044,2.8784,2.7833,2.852,2.8044,0.04760000000000009,1.6973,299918.61,161397.72400000002
3445,600020.SH,20070213,2.7992,2.8097,2.7569,2.8044,2.7939,0.010499999999999956,0.3758,212509.0,112072.56599999999
3446,600020.SH,20070212,2.778,2.7992,2.7516,2.7939,2.7675,0.02639999999999976,0.9539,210068.02,110706.561
3447,600020.SH,20070209,2.7833,2.8097,2.7463,2.7675,2.7675,0.0,0.0,251473.47,132281.866
3448,600020.SH,20070208,2.6830000000000003,2.7675,2.6407,2.7675,2.6724,0.09509999999999996,3.5586,247273.96,126766.084
3449,600020.SH,20070207,2.6882,2.7094,2.6460000000000004,2.6724,2.6671,0.005300000000000082,0.1987,219555.53,111392.385
3450,600020.SH,20070206,2.5773,2.6724,2.5773,2.6671,2.5615,0.10559999999999993,4.1226,151489.42,75195.65299999999
3451,600020.SH,20070205,2.5562,2.6037,2.5456,2.5615,2.5562,0.005300000000000082,0.2073,129541.42,63103.63
3452,600020.SH,20070202,2.5932,2.6724,2.5404,2.5562,2.5932,-0.03699999999999992,-1.4268,197072.02,97104.101
3453,600020.SH,20070201,2.5773,2.6249,2.5140000000000002,2.5932,2.6143,-0.02110000000000012,-0.8071,246034.14,120059.90800000001
3454,600020.SH,20070131,2.7463,2.7886,2.5932,2.6143,2.7622,-0.14789999999999992,-5.3544,300473.68,153514.759
3455,600020.SH,20070130,2.8097,2.8256,2.7516,2.7622,2.7939,-0.03169999999999984,-1.1346,269039.49,141636.0
3456,600020.SH,20070129,2.7569,2.8097,2.7305,2.7939,2.7463,0.047599999999999636,1.7332,331632.25,174285.004
3457,600020.SH,20070126,2.6988,2.7675,2.5404,2.7463,2.7411,0.0052000000000003155,0.1897,317446.37,161172.598
3458,600020.SH,20070125,2.9048,2.9048,2.7305,2.7411,2.9101,-0.16900000000000004,-5.8074,354677.85,189415.46
3459,600020.SH,20070124,2.8942,2.9523,2.8414,2.9101,2.9048,0.005300000000000082,0.1825,368792.99,202931.391
3460,600020.SH,20070123,2.9576,2.9734,2.7886,2.9048,2.9417,-0.03690000000000016,-1.2544,461713.51,250938.78
3461,600020.SH,20070122,2.8044,2.9523,2.8044,2.9417,2.7833,0.15839999999999987,5.6911,550102.71,298243.702
3462,600020.SH,20070119,2.6724,2.7886,2.6724,2.7833,2.6671,0.11620000000000008,4.3568,461015.56,237989.443
3463,600020.SH,20070118,2.5879,2.6724,2.5562,2.6671,2.6037,0.06340000000000012,2.435,240840.3,118817.151
3464,600020.SH,20070117,2.6882,2.7094,2.5668,2.6037,2.6724,-0.0687000000000002,-2.5707,345995.67,174095.845
3465,600020.SH,20070116,2.6830000000000003,2.7252,2.6196,2.6724,2.6671,0.005300000000000082,0.1987,287629.5,145554.59900000002
3466,600020.SH,20070115,2.5087,2.6671,2.4981,2.6671,2.5245,0.14259999999999984,5.6486,291428.07,143517.913
3467,600020.SH,20070112,2.7094,2.7199,2.5192,2.5245,2.7252,-0.20069999999999988,-7.3646,443347.22,220292.27300000002
3468,600020.SH,20070111,2.815,2.852,2.7094,2.7252,2.815,-0.08979999999999988,-3.1901,383748.56,202836.47
3469,600020.SH,20070110,2.7675,2.8203,2.7041,2.815,2.7569,0.05810000000000004,2.1074,438520.05,228263.423
3470,600020.SH,20070109,2.7516,2.7939,2.7146,2.7569,2.7358,0.02110000000000012,0.7713,357467.48,186156.641
3471,600020.SH,20070108,2.7041,2.815,2.6988,2.7358,2.7041,0.03169999999999984,1.1723,500351.05,260273.198
3472,600020.SH,20070105,2.5615,2.7199,2.4981,2.7041,2.5615,0.14259999999999984,5.5671,605531.96,304085.95
3473,600020.SH,20070104,2.5087,2.6830000000000003,2.4559,2.5615,2.4823,0.07920000000000016,3.1906,709321.93,342388.015
3474,600020.SH,20061229,2.4506,2.4823,2.4189,2.4823,2.4189,0.06340000000000012,2.6210000000000004,576101.27,268088.01
3475,600020.SH,20061228,2.5087,2.5298,2.3766,2.4189,2.4506,-0.031700000000000284,-1.2936,658420.54,306297.815
3476,600020.SH,20061227,2.3238,2.4559,2.3027,2.4506,2.2974,0.1532,6.6684,516621.79,234118.15
3477,600020.SH,20061226,2.3344,2.3502,2.2816,2.2974,2.3238,-0.02639999999999976,-1.1361,182286.71,79558.24799999999
3478,600020.SH,20061225,2.3502,2.3608,2.3027,2.3238,2.3291,-0.005300000000000082,-0.2276,226359.01,99967.93
3479,600020.SH,20061222,2.3872,2.4295,2.3238,2.3291,2.3819,-0.052799999999999965,-2.2167,468862.98,210233.13
3480,600020.SH,20061221,2.3238,2.3978,2.2921,2.3819,2.3133,0.0686,2.9655,470701.69,210366.09699999998
3481,600020.SH,20061220,2.2816,2.3185,2.2288,2.3133,2.2816,0.03169999999999984,1.3894,230654.2,99483.56800000001
3482,600020.SH,20061219,2.3238,2.3238,2.1971,2.2816,2.3027,-0.02110000000000012,-0.9163,296563.4,126420.494
3483,600020.SH,20061218,2.3238,2.3608,2.2869,2.3027,2.3080000000000003,-0.005299999999999638,-0.2296,242800.26,106268.12599999999
3484,600020.SH,20061215,2.2921,2.3502,2.2816,2.3080000000000003,2.271,0.03699999999999992,1.6292,233517.19,102445.287
3485,600020.SH,20061214,2.2129,2.271,2.2129,2.271,2.2182,0.052799999999999965,2.3803,190219.56,81022.147
3486,600020.SH,20061213,2.2024,2.2288,2.1812,2.2182,2.2024,0.015800000000000036,0.7174,136468.58,57022.731
3487,600020.SH,20061212,2.2657,2.2763,2.1548,2.2024,2.2446,-0.04220000000000024,-1.8801,209588.83,87523.231
3488,600020.SH,20061211,2.1443,2.2499,2.1284,2.2446,2.1443,0.10030000000000028,4.6775,204309.54,84873.163
3489,600020.SH,20061208,2.2816,2.2974,2.1337,2.1443,2.3238,-0.1795,-7.7244,358264.03,150195.115
3490,600020.SH,20061207,2.3714,2.3978,2.3133,2.3238,2.3766,-0.052799999999999965,-2.2217,401785.47,178491.677
3491,600020.SH,20061206,2.4347,2.4559,2.2604,2.3766,2.4295,-0.05290000000000017,-2.1774,583912.06,260906.995
3492,600020.SH,20061205,2.3133,2.4875,2.3133,2.4295,2.2657,0.16380000000000014,7.2296,872078.8,394790.209
3493,600020.SH,20061204,2.1707,2.2869,2.1707,2.2657,2.1654,0.10029999999999983,4.6319,440255.51,186226.388
3494,600020.SH,20061201,2.0914,2.1865,2.0914,2.1654,2.0862,0.07920000000000016,3.7964,507198.64,206312.985
3495,600020.SH,20061130,2.0598,2.0967,2.0492,2.0862,2.0545,0.03169999999999984,1.5430000000000001,193314.26,75995.787
3496,600020.SH,20061129,2.0492,2.0703,2.0175,2.0545,2.065,-0.010499999999999956,-0.5085,128269.0,49840.82
3497,600020.SH,20061128,2.1126,2.1337,2.0492,2.065,2.1126,-0.04760000000000009,-2.2531,190899.18,75466.978
3498,600020.SH,20061127,2.0756,2.1126,2.0598,2.1126,2.0756,0.03699999999999992,1.7826,188234.35,74635.613
3499,600020.SH,20061124,2.065,2.1126,2.0492,2.0756,2.065,0.010600000000000165,0.5133,177441.83,69937.896
3500,600020.SH,20061123,2.0809,2.0862,2.0386,2.065,2.0809,-0.015900000000000247,-0.7641,201276.96,78607.435
3501,600020.SH,20061122,2.0545,2.1337,2.0545,2.0809,2.0439,0.037000000000000366,1.8103,441629.63,175450.332
3502,600020.SH,20061121,2.0333,2.0545,1.9805,2.0439,2.0333,0.01059999999999972,0.5213,175036.91,67096.738
3503,600020.SH,20061120,1.9964,2.0439,1.9647,2.0333,1.9858,0.0475000000000001,2.392,214840.13,81593.342
3504,600020.SH,20061117,1.9172,1.9911,1.9013,1.9858,1.9172,0.0686,3.5781,144235.45,53533.33
3505,600020.SH,20061116,1.97,1.9805,1.9119,1.9172,1.97,-0.052799999999999965,-2.6802,130187.36,48016.285
3506,600020.SH,20061115,1.933,1.9805,1.9066,1.97,1.9383,0.03170000000000006,1.6355,97412.92,36023.484
3507,600020.SH,20061114,1.8907,1.9383,1.8696,1.9383,1.896,0.0423,2.231,98674.13,35440.073
3508,600020.SH,20061113,1.9805,1.9911,1.8696,1.896,1.9805,-0.08450000000000002,-4.2666,142777.74,52075.0
3509,600020.SH,20061110,2.0598,2.065,1.9541,1.9805,2.0492,-0.06869999999999997,-3.3525,213973.43,81179.406
3510,600020.SH,20061109,2.0175,2.065,2.0122,2.0492,2.0386,0.01059999999999972,0.52,174144.73,67190.47200000001
3511,600020.SH,20061108,2.1284,2.1337,2.0333,2.0386,2.1284,-0.08979999999999988,-4.2191,196917.22,77108.68400000001
3512,600020.SH,20061107,2.0914,2.1390000000000002,2.0598,2.1284,2.0809,0.04749999999999988,2.2827,343609.45,137095.264
3513,600020.SH,20061106,2.0175,2.0809,1.9964,2.0809,2.0333,0.04760000000000009,2.3409999999999997,211467.05,82075.93
3514,600020.SH,20061103,2.0545,2.065,2.0069,2.0333,2.0492,-0.015899999999999803,-0.7759,235160.79,90515.895
3515,600020.SH,20061102,2.0598,2.0862,2.0228,2.0492,2.0333,0.015899999999999803,0.782,441635.89,171744.22199999998
3516,600020.SH,20061101,1.9541,2.0439,1.9383,2.0333,1.9436,0.08970000000000011,4.6151,425613.06,161158.761
3517,600020.SH,20061031,1.9066,1.9594,1.9066,1.9436,1.9013,0.0423,2.2248,340427.62,125055.02
3518,600020.SH,20061030,1.8221,1.9066,1.8168,1.9013,1.8221,0.07919999999999994,4.3466,153432.18,54273.974
